nama,alamat,latitude,longitude
AJR (STO ARJOSARI),,,
BAD (STO BADERAN),,,
BCR (STO BANCAR),,,
BJN (STO BOJONEGORO),,,
BRN (STO BRINGIN),,,
CRB (STO CARUBAN),,,
GEG (STO GEGER),,,
GGR (STO GORANGGARENG),,,
GMG (STO GEMARANG),,,
JEN (STO JENENGAN),,,
JGO (STO JOGOROGO),,,
JRK (STO JERUK),,,
JTR (STO JATIROGO),,,
KDU (STO KALITIDU),,,
KRE (STO KARE),,,
KRJ (STO KARANGJATI),,,
KRK (STO KEREK),,,
KWA (STO KWARAKAN),,,
LOG (STO LOROG),,,
MGT (STO MAGETAN),,,
MHO (STO MANGUNHARJO),,,
MNZ (STO MADIUN),,,
MSP (STO MAOSPATI),,,
MRR (STO MERAKURAK),,,
MSP (STO MAOSPATI),,,
NBL (STO NGEBEL),,,
NGY (STO NGRAYON),,,
NWG (STO NAWANGAN),,,
NWI (STO NGAWI),,,
PAD (STO PADANGAN),,,
PLG (STO PULUNG),,,
PNZ (STO PACITAN),,,
PNG (STO PUNUNG),,,
PON (STO PONOROGO),,,
PRM (STO PARANG),,,
PUR (STO PANGKUR),,,
RGL (STO RENGEL),,,
SAR (STO SARANGAN),,,
SAT (STO SAMBIT),,,
SMJ (STO SUMBERREJO),,,
SDM (STO SUDIMORO),,,
SHN (STO SINGGAHAN),,,
SLH (STO SLAHUNG),,,
SMO (STO SUMOROTO),,,
SNG (STO SAMPUNG),,,
SWN (STO SAWAHAN),,,
TLO (STO TEGALOMBO),,,
TNZ (STO TUBAN),,,
UTR (STO UTERAN),,,
WGE (STO WATUGEDE),,,
WKU (STO WALIKUKUN),,,
BLR (STO BLITAR),,,
BNU (STO BINANGUN),,,
CAT (STO CAMPURDARAT),,,
DRN (STO DURENAN),,,
GON (STO GONDANG),,,
GUR (STO GURAH),,,
KWR (STO KALIDAWIR),,,
KAA (STO KANDANGAN),,,
KDI (STO KEDIRI),,,
KTS (STO KERTOSONO),,,
KBN (STO KESAMBEN),,,
LDY (STO LODOYO),,,
MJT (STO MOJOROTO),,,
NDL (STO NGADILUWIH),,,
NJK (STO NGANJUK),,,
NGU (STO NGUNUT),,,
PAN (STO PANATARAN),,,
PPR (STO PAPAR),,,
PAE (STO PARE),,,
PRB (STO PRAMBON),,,
PRI (STO PRIGI),,,
SMB (STO SAMBI),,,
SNT (STO SRENGAT),,,
TRE (STO TRENGGALEK),,,
TUL (STO TULUNGAGUNG),,,
WRJ (STO WARUJAYENG),,,
WAT (STO WATES),,,
WGI (STO WLINGI),,,
APG (STO AMPELGADING),,,
BLL (STO BULULAWANG),,,
BNR (STO BANTUR),,,
BTU (STO BATU),,,
DNO (STO DONOMULYO),,,
DPT (STO DAMPIT),,,
GDI (STO GONDANGLEGI),,,
GKW (STO GUNUNGKAWI),,,
JBW (STO JAMBUWER),,,
KPN (STO KEPANJEN),,,
KPO (STO KARANGPLOSO),,,
LWG (STO LAWANG),,,
BLB (STO BLIMBING),,,
BRG (STO BURING),,,
GDG (STO GADANG),,,
KLJ (STO KLOJEN),,,
MLG (STO MALANG),,,
SWJ (STO SAWOJAJAR),,,
NTG (STO NGANTANG),,,
PKS (STO PAKIS),,,
PGK (STO PAGAK),,,
PJO (STO PUJON),,,
SBM (STO SUMBERMANJING),,,
SBP (STO SUMBERPUCUNG),,,
SGS (STO SINGOSARI),,,
TMP (STO TUMPANG),,,
TUR (STO TUREN),,,
BNL (STO BANGIL),,,
BUG (STO BALUNG),,,
GDW (STO GONDANGWETAN),,,
GND (STO GENDING),,,
GRA (STO GRATI),,,
JTO (STO JATIROTO),,,
KKH (STO KLAKAH),,,
KNO (STO KENCONG),,,
KRC (STO KRUNCIL),,,
KRZ (STO KRAKSAAN),,,
LCE (STO LECES),,,
LMJ (STO LUMAJANG),,,
LUM (STO LUMBANG),,,
NDI (STO NGADISARI),,,
NJA (STO NONGKOJAJAR),,,
PBL (STO PROBOLINGGO),,,
PGE (STO PRIGEN),,,
PSN (STO PASURUAN),,,
PII (STO PASIRIAN),,,
PTN (STO PAITON),,,
PWO (STO PRONOJIWO),,,
SBR (STO SUMBER),,,
SDO (STO SENDURO),,,
SKP (STO SUKAPURA),,,
TGU (STO TANGGUL),,,
TGS (STO TONGAS),,,
TIR (STO TIRIS),,,
TOS (STO TOSARI),,,
TPH (STO TEMPEH),,,
TRI (STO TEMPUSARI),,,
