nama,starclick_profile
ASMAN CRM & CUSTOMER LEVERAGING,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
ASMAN HOME SERVICE,Create and list opportunity|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools
ASMAN SALES & CC Datel Batang,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE Inputer - DCS
ASMAN SALES & CUSTOMER CARE,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Backroom|SCFE Inputer - DCS|Tools
ASMAN SALES OPERATION 2,SCFE Inputer - DCS
ASMAN WOC,SC Backend - Viewer
AUDITOR,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
AUDITOR MADYA,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
AUDITOR PRATAMA II,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
Back Office Customer Care ,SC Backend - Inputer|SCFE Inputer - DCS
CSR PLASA,Approval Order SCBE|Invalid Survey SCBE|NEWINDISOL - Inputer|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|user Apartclick|User Revoke|User Revoke EBIS
Customer Care and Postpaid Consumer Management Area Jabotabek Jabar,Approval Order SCBE|Report Plasa non Organik|SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS
Customer Care Postpaid Management Jabar,SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS
Customer Service,Approval Order SCBE|Report Plasa non Organik|SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
Customer Service Representative,Approval Order SCBE|Cancel massal|Crl Task|Dashboard user|Invalid Survey SCBE|NEWINDISOL - Inputer|open MO|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|user Apartclick
DEPUTY EGM IT DEVELOPMENT,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
DESK CONTROLL,Approval Order SCBE|Report Plasa non Organik|SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
DIGI AGENT,SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
Direct Sales Operation,Approval Order SCBE|Cancel massal|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|Report Plasa non Organik|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE Inputer - DCS|User Revoke
DRAFTER,SCFE Inputer - DCS
GM REGIONAL ENTERPRISE & GOVERNMENT SERV,Create and list opportunity|Invalid Survey SCBE|report plasa organik|SC Backend - Inputer|SCFE Inputer - DCS
GM TA jaktim,SCFE Inputer - DCS
GM TA Sulbagut,SC Backend - Viewer|SC Frontend - Viewer
GM WITEL DENPASAR,SCFE Inputer - DCS
GM WITEL GORONTALO,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
GM WITEL JEMBER,NEWINDISOL - Viewer|SC Backend - Viewer|SCFE Inputer - DCS|User Revoke
GM WITEL KARAWANG,Agent|Approval Order SCBE|Create and list opportunity|Crl Task|Invalid Survey SCBE|MYWIFI - Inputer|MYWIFI - Viewer|open MO|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Backroom|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE Inputer - DCS|Tools
GM WITEL LAMPUNG,Cancel massal|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|User Revoke
GM WITEL MADURA,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
GM WITEL MALANG,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
GM WITEL MALUKU,SCFE Inputer - DCS
GM WITEL NTB,SCFE Inputer - DCS
GM WITEL PAPUA BARAT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
GM WITEL SULSELBAR,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|User Revoke
GM WITEL SULUT & MALUT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
GM WITEL SURABAYA SELATAN,SCFE Inputer - DCS
GM WITEL SURABAYA UTARA,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
HD DATA MANAGEMENT,SC Frontend - Viewer|User Revoke
HD PROVISIONING WOC,SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
Head of Representation Office Trenggalek,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
HEAD OF REPRESENTATIVE OFFICE KANDANGAN,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
HEAD OF REPRESENTATIVE OFFICE PLERED,SC Backend - Inputer|SCFE Inputer - DCS
HEAD OF REPRESENTATIVE OFFICE PULOBRAYAN,Inbox Cancel Telkomsel|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
Head of Representative Office Putussibau,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
HEAD OF REPRESENTATIVE OFFICE SERANG,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
HELPDESK,check order massal|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Viewer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
HELPDESK  DAMAN,NEWINDISOL - Inputer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
HELPDESK ASSURANCE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
HELPDESK DAMAN,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|Viewer
HELPDESK FALLOUT,SC Frontend - Viewer
HELPDESK FULFILLMENT,Invalid Survey SCBE|NEWINDISOL - Inputer|NEWINDISOL - Viewer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
HELPDESK HIS,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
HELPDESK IOAN,Invalid Survey SCBE|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|User Revoke
HELPDESK IOC,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
HELPDESK LOGIC,SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
HELPDESK MAINTENANCE,SC Frontend - Viewer|User Revoke
HELPDESK NE,SCFE Inputer - DCS
HELPDESK OC3,SC Frontend - Viewer|User Revoke
HELPDESK OPLANG,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
HELPDESK PROVISIONING,cek status massal|Create and list opportunity|Inbox Cancel Telkomsel|Invalid Survey SCBE|MYDIGIBIZ - Inputer|NEWINDISOL - Inputer|NEWINDISOL - Viewer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
HELPDESK TA,SC Frontend - Viewer
HELPDESK WIFI,SC Backend - Viewer|SC Frontend - Viewer
HELPDESK WOC,Helpdesk|Invalid Survey SCBE|NEWINDISOL - Viewer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
HERO,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
INBOUND CALLCENTER,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
INPUTER,SC Frontend - Admin
IOCW,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
IS SUPPORT,SCFE Inputer - DCS
JM CUSTOMER CARE,Approval Order SCBE|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
KAKANDATEL,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
LOYALTY OFFICER,SC Backend - Inputer|SCFE Inputer - DCS
MANAGER,SCFE Inputer - DCS
MANAGER ASO,NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
Manager Customer Leveraging,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
Manager FBB Access Service Operation,NEWINDISOL - Viewer|SC Backend - Viewer|SC Frontend - Viewer
Manager Provisioning & Migrasi,Invalid Survey SCBE|NEWINDISOL - Viewer|SC Backend - Viewer|SC Frontend - Viewer|User Revoke
Manager TA Access Operation Pekalongan,SC Backend - Viewer|SCFE Inputer - DCS|User Revoke
MGR  CUSTOMER MGT SYSTEM DEVELOPMENT,Create and list opportunity|Crl Task|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
MGR ACC DATA VALIDATION & INVENTORY MGMT,SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
MGR ACCESS & SERVICE OPERATION,Create and list opportunity|SC Backend - Inputer|SCFE Inputer - DCS
MGR ACCESS DATA VALIDAT & INVENTORY MGMT,Reopen Inbox|SCFE Inputer - DCS
MGR ACCESS DATA VALIDATION & INVENTORY MANAGEMENT,SC Backend - Inputer|SCFE Inputer - DCS
"MGR ACCESS OPTIMA, MAINTENANCE, QE&DAMAN",Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|MYDIGIBIZ - Inputer|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
"MGR ACCESS OPTIMA, MAINTENANCE, QE, & DAMAN",SC Frontend - Viewer
"MGR ACCESS OPTIMA,MAINTENANCE,QE&DAMAN",Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
Mgr Assurance & Maintenance Manado,SC Backend - Viewer|SC Frontend - Viewer
MGR BGES & MBB SERVICE OPERATION,SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
MGR BGES ASSURANCE SUPERVISION,SCFE Inputer - DCS
MGR BGES FULFILLMENT SUPERVISION,Invalid Survey SCBE|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
"MGR BGES, MBB, FBB ACC&SERVICE OPERATION",Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
"MGR BGES,MBB,FBB ACCESS & SERVICE OPERAT",Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Reopen Inbox|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
"MGR BGES,MBB,FBB,ACCESS & SERVICE OPERAT",Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
MGR BIG DATA OPR & DATA ACQUISITION,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
MGR BILLING & PAYMENT COLLECTION,Create and list opportunity|NEWINDISOL - Inputer|SC Backend - Inputer|SC Backend - Viewer|SCFE Inputer - DCS|UHOS - Inputer|User Revoke
MGR BILLING & REVENUE MGT SYSTEM OPR,Invalid Survey SCBE|MYDIGIBIZ - Inputer|MYWIFI - Inputer|MYWIFI - Viewer|NEWINDISOL - Inputer|NEWINDISOL - Viewer|open MO|Profile untuk judor|SC Backend - Inputer|SC Frontend - Admin|SC Frontend - Backroom|SC Frontend - Management|SC Frontend - Senior Leader|SCFE Inputer - DCS|UHOS - Inputer
MGR CA & COHERENT IT ENABLEMENT,Invalid Survey SCBE|MYDIGIBIZ - Inputer|MYWIFI - Inputer|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|UHOS - Inputer
