nama,starclick_profile
MGR WITEL BUSINESS SERVICE,Approval Order SCBE|Create and list opportunity|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|open MO|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
MGR WORKFORCE MANAGEMENT OPERATION,Create and list opportunity|Invalid Survey SCBE|Profile untuk judor|SC Backend - Inputer|SC Backend - Viewer|SCFE Inputer - DCS
MITRA 147,Approval Order SCBE|Cancel massal|Crl Task|Invalid Survey SCBE|open MO|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
MITRA ADDON,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SCFE Inputer - DCS|User Revoke|User Revoke EBIS
MITRA BACKROOM,SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS
MITRA C4,SC Frontend - Viewer|User Revoke
MITRA CAM,Crl Task|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|User Revoke
MITRA CRL,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SCFE Inputer - DCS|User Revoke
MITRA CS,Approval Order SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|Report Plasa non Organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
MITRA CSO,NEWINDISOL - Inputer|SC Backend - Inputer|SC Frontend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS
MITRA FCC,SC Backend - Inputer|SCFE Inputer - DCS
MITRA FOS,Approval Order SCBE|Cancel massal|Crl Task|Invalid Survey SCBE|open MO|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
MITRA HCC,Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke|User Revoke EBIS
MITRA INPUTER,Approval Order SCBE|Cancel massal|check order massal|Create and list opportunity|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|MYDIGIBIZ - Inputer|MYWIFI - Inputer|NEWINDISOL - Inputer|open MO|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Supervisor|Tools|UHOS - Inputer|User Revoke|User Revoke EBIS
MITRA IOC,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS|User Revoke
MITRA OC3,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
MITRA OPHAR IOCW,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
MITRA OPLANG,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
MITRA SBC,SCFE Inputer - DCS
MITRA SUPPORT OPERASIONAL,Approval Order SCBE|Cancel massal|cek status massal|Create and list opportunity|Crl Task|Dashboard Report Agent|Dashboard user|Helpdesk|Hosted PBX|Inbox Cancel Telkomsel|Invalid Survey SCBE|Live ncx|Management User|Mass Order|Monitoring Deposit|MYDIGIBIZ - Inputer|MYWIFI - Inputer|MYWIFI - Viewer|NEWINDISOL - Inputer|NEWINDISOL - Viewer|open MO|profile baru|Profile untuk judor|Reopen Inbox|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Admin|SC Frontend - Backroom|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Senior Leader|SC Frontend - Supervisor|SC Frontend - Viewer|SCBE - Mywms|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|System Administrator|Tools|Tools untuk monitoring dan terminate session|UHOS - Inputer|update deposit|update for resubmit|update millestone|User Revoke|User Revoke EBIS|Viewer
MITRA VAM,SCFE Inputer - DCS
OC3,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
OFF 1 ACCESS NEW FTTH PROJECT SUPERVISOR,Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 1 APARTMENT OPERATION,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 ASSET MANAGEMENT&FACILITY SUPPORT,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 1 ASSET MGMT & FACILITY SUPPORT,Approval Order SCBE|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 ASSET MGMT&FACILITY SUPPORT,Approval Order SCBE|Create and list opportunity|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Management|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
OFF 1 ASSET MGT & FACILITY SUPPORT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 ASSURANCE SOLUTION,SCFE Inputer - DCS|Tools
OFF 1 BGES & WIFI ASSURANCE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 1 BGES & WIFI FULFILLMENT,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 BGES & WIFI FULFILLMENT & ASSUR,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
OFF 1 BGES & WIFI FULFILLMENT & ASSURANC,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 BGES &Ã‚Â WIFI FULFILLMENT,Invalid Survey SCBE|SCFE Inputer - DCS
OFF 1 BGES ASSURANCE SUPPORT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 BGES FULFILLMENT OPERATION,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
OFF 1 BGES FULFILLMENT SUPERVISION,Invalid Survey SCBE|SCFE Inputer - DCS
OFF 1 BGES&WIFI FULFILLMENT&ASSURANCE,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|MYWIFI - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 1 BS SALES EVAL & MARKETING,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 CA & COHERENT IT ENABLEMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 CEM DESIGN,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 CEM OPERATION,Invalid Survey SCBE|Profile untuk judor|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 CFU SUPPORT IT SUPPORT,Invalid Survey SCBE|Profile untuk judor|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 1 COMM,SECRETARIAT&SECURITY SAFETY",Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SCFE - Input Service Request All|SCFE Inputer - DCS
"OFF 1 COMMUNICATION, SECRETARIATE & SAS",Invalid Survey SCBE|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 1 CUST ENGAGEMENT & SALES BUSS OPS,Approval Order SCBE|Create and list opportunity|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
OFF 1 CUST ENGAGEMENT&SALES BUSS OPERAT,Approval Order SCBE|Create and list opportunity|Crl Task|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
OFF 1 DATA CENTER & DEFA,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 DATA MANAGEMENT,Create and list opportunity|Invalid Survey SCBE|MYWIFI - Inputer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
OFF 1 DIGITAL CONNECTIVITY REG SUPPORT,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OFF 1 EXPOSURE & API FACTORY MGT DESIGN,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 1 FBB ACCESS PROVISIONING,cek status massal|Create and list opportunity|Crl Task|Invalid Survey SCBE|NEWINDISOL - Inputer|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
OFF 1 FBB ASSURANCE,Approval Order SCBE|Create and list opportunity|Crl Task|Invalid Survey SCBE|NEWINDISOL - Inputer|open MO|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
OFF 1 FBB ASSURANCE MANAGEMENT,SCFE Inputer - DCS
OFF 1 FBB FULFILLMENT,Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Management|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS|Viewer
OFF 1 FINANCE & COLLECTION,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Viewer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
"OFF 1 FINANCE SERVICE,TAX & HC",SCFE Inputer - DCS
OFF 1 FINANCE SYSTEM OPERATION,Inbox Cancel Telkomsel|Invalid Survey SCBE|Profile untuk judor|SC Backend - Inputer|SCFE Inputer - DCS|Tools|User Revoke
OFF 1 GS SALES EVALUATION & MARKETING,Create and list opportunity|Invalid Survey SCBE|Reopen Inbox|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 1 HELPDESK OPERATION,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 IH3P INTEGRATION,SCFE Inputer - DCS
OFF 1 INFRA OPERATION & MAINTENANCE,Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|NEWINDISOL - Viewer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
OFF 1 IP & SERVICE NODE OPERATION,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 1 LOGISTIK & LEGAL,Approval Order SCBE|Create and list opportunity|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Management|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
OFF 1 MAINTENANCE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
OFF 1 MBB ASSURANCE,SCFE Inputer - DCS
OFF 1 MBB FULFILLMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke|User Revoke EBIS
OFF 1 MBB FULFILLMENT & ASSURANCE,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE Inputer - DCS
"OFF 1 NETWORK PERFORM,QUALITY MGMT&ADMIN",Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
OFF 1 NTE MANAGEMENT,SCFE Inputer - DCS
OFF 1 NW QUALITY SURVEILLANCE,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 OLO ASSURANCE,SC Backend - Inputer|SC Frontend - Supervisor|SCFE Inputer - DCS|User Revoke
"OFF 1 OM IP NETWORK, IS & SWITCHING",Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 1 OM IP NW, IS & SWITCHING",Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
"OFF 1 OM TRANSPORT, RADIO & MUX",Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
"OFF 1 OPTIMA, NTE MANAGEMENT & QE",Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
OFF 1 PARTNER INVOICING & SDA SUPPORT,Crl Task|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 PARTNERSHIP & PERFORMANCE,SCFE Inputer - DCS
OFF 1 PERFORMANCE & RISK MANAGEMENT,Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 1 PERFORMANCE & SERVICE QUALITY,Create and list opportunity|Invalid Survey SCBE|Reopen Inbox|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 PRODUCT SOLUTION & DELIVERY,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 QOS & REVENUE ASSURANCE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 1 QUAL,CHANGE,RISK MGMT&REVENUE ASS",SC Backend - Viewer
OFF 1 QUALITY OF SALES & REVENUE ASSUR,Approval Order SCBE|Create and list opportunity|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Management|SCFE - Inbox Service Request|SCFE - Input Service Request All
OFF 1 QUALITY OF SALES&REVENUE ASSURANCE,Approval Order SCBE|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
"OFF 1 QUALITY,CHANGE,RISK MGMT&REV ASSUR",Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 RUMAH BUMN,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OFF 1 RUMAH KREATIF BUMN,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE Inputer - DCS
OFF 1 SALES ENGINEER,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Supervisor|User Revoke
"OFF 1 SECRETARIAT,PUBLIC RELATION&TJSL",Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 1 TANGGUNG JAWAB SOSIAL & LINGKUNGAN,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS
OFF 1 TANGGUNG JWB SOSIAL&LINGKUNGAN&HC,Approval Order SCBE|Crl Task|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|User Revoke
OFF 1 TGG JWB SOSIAL & LINGKUNGAN DAN HC,Invalid Survey SCBE|MYDIGIBIZ - Inputer|SC Backend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|User Revoke
OFF 1 WALK IN CHANNEL OPR & PARTNERSHIP,Dashboard Report Agent|Invalid Survey SCBE|report plasa organik|SC Backend - Inputer|SC Frontend - Supervisor|SCFE Inputer - DCS
OFF 1 WHOLESALE&INTERNATIONAL MARKETING,SC Backend - Viewer|SC Frontend - Viewer
OFF 1 WIFI & IH LEGACY SALES & MARKETING,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE Inputer - DCS
OFF 1 WIFI INFRASTRUCTURE INTEGRATION,NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
OFF 1 WOC & QUALITY,Invalid Survey SCBE|NEWINDISOL - Inputer|report plasa organik|SC Backend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 ACCESS DATA VALIDATION,SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 ACCESS FAULT HANDLING,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 ACCESS IT TOOL MANAGEMENT,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 API MGT OPERATION,Invalid Survey SCBE|Profile untuk judor|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 ASSET MGMT&FACILITY SUPPORT,Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
OFF 2 BGES & WIFI ASSURANCE,Invalid Survey SCBE|MYDIGIBIZ - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 BGES & WIFI FULFILLMENT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Management|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 BGES FULFILLMENT SUPERVISION,SC Frontend - Viewer|User Revoke
OFF 2 BGES&WIFI FULFILLMENT&ASSURANCE,Invalid Survey SCBE|Reopen Inbox|SC Backend - Inputer|SC Frontend - Inputer|SCFE - HSI dan SCBE FU HSI|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke|User Revoke EBIS
OFF 2 BILLING & PAYMENT COLLECTION,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 2 BS ACCOUNT PLAN & TEAM MANAGEMENT,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
"OFF 2 COMM,SECRETARIAT&SECURITY SAFETY",Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 CUST ENGAGEMENT & SALES BUSS OPS,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools
OFF 2 CUST ENGAGEMENT&SALES BUSS OPERAT,Approval Order SCBE|Invalid Survey SCBE|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 CUSTOMER INTERACTION MGT OPERATION,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 CUSTOMER MGT SYSTEM DEVELOPMENT,Invalid Survey SCBE|Mass Order|NEWINDISOL - Inputer|NEWINDISOL - Viewer|Profile untuk judor|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 DATA CENTER & DEFA,Create and list opportunity|Invalid Survey SCBE|open MO|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 DATA MANAGEMENT,Invalid Survey SCBE|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OFF 2 DATA MANAGEMENT SUPPORTING,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 DESIGN & ENGINEERING,SCFE Inputer - DCS
OFF 2 DIGITAL CONNECTIVITY REG SUPPORT,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
"OFF 2 ENTERPRISE, OLO & WIFI DEPLOYMENT",Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Supervisor|SCFE Inputer - DCS|Tools
OFF 2 FBB ACCESS PROVISIONING,Invalid Survey SCBE|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 FBB ASSURANCE,cek status massal|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|Reopen Inbox|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 FBB FULFILLMENT,Approval Order SCBE|cek status massal|Create and list opportunity|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 FBB FULFILLMENT OPERATION,cek status massal|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
OFF 2 FBB FULFILLMENT SUPPORT,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE - Input Service Request Basic|SCFE Inputer - DCS|User Revoke
OFF 2 FBB MS BILLING VALIDATION,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 FINANCE & COLLECTION,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Viewer|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 FULFILLMENT OPERATION,Cancel massal|Invalid Survey SCBE|SC Backend - Inputer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS
OFF 2 HOME SERVICE,Inbox Cancel Telkomsel|Invalid Survey SCBE|NEWINDISOL - Inputer|open MO|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 INFRA OPERATION & MAINTENANCE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Viewer|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
OFF 2 IP MULTIMEDIA SUB SYSTEM 2,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
OFF 2 LOGISTIK & LEGAL,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 MAINTENANCE,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 MAINTENANCE & DATA MANAGEMENT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 MBB ASSURANCE,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
OFF 2 MBB FULFILLMENT,Create and list opportunity|Invalid Survey SCBE|Reopen Inbox|SC Backend - Inputer|SC Frontend - Supervisor|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 MBB FULFILLMENT & ASSURANCE,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
"OFF 2 NETWORK PERFORM,QUALITY MGMT&ADMIN",SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
OFF 2 OLO FULFILLMENT,SC Backend - Viewer|SC Frontend - Viewer|User Revoke
OFF 2 OM DATA CENTER & DEFA,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE Inputer - DCS|Tools|User Revoke
"OFF 2 OM IP NW, IS & SWITCHING",Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|Tools
"OFF 2 OM TRANSPORT, RADIO & MUX",Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS
"OFF 2 OPTIMA, NTE MANAGEMENT & QE",Approval Order SCBE|Cancel massal|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
OFF 2 ORDER MANAGEMENT ADM,Invalid Survey SCBE|Profile untuk judor|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE Inputer - DCS|User Revoke
